4054609449965303040 263.19457359  -32.57491798   0.8768   0.1085   2.3730   0.1340  -1.8488   0.0910  17.5849  18.8970  16.4693  14.6830  12.8360  12.1760  0.9824  0.8652  0.9793  0.8473 1  0.4493  1.7439   6.8802
4054609866596686336 263.33657209  -32.57381360   0.8939   0.0212   2.3945   0.0200  -1.6419   0.0152  13.6179  14.0158  12.9878  11.5120  10.5570   9.6900  1.0000  0.8197  0.9828  0.8056 1  0.3877  1.6678   6.4632
4054610274599056640 263.35855514  -32.55628934   0.8644   0.1841   2.9079   0.2058  -1.5618   0.1297  18.0167  19.0408  16.9280  15.1590  14.1510  13.5780  0.9062  0.5378  0.9793  0.5267 0  0.4697  1.3439   7.1487
4054611481504424320 263.35552865  -32.48160268   0.9768   0.0427   2.1960   0.0473  -1.6384   0.0301  15.4945  16.3017  14.6057  13.3450  12.6220  12.3670  1.0000  0.6542  0.9793  0.6406 1  0.8530  1.3582   6.9599
4054611825101829888 263.32153819  -32.46281590   0.8225   0.0647   2.1360   0.0745  -1.5920   0.0536  16.4861  17.4609  15.5373      ...      ...      ...  1.0000  0.5831  0.9793  0.5711 0  0.6022  1.9536   7.0674
4054612374858161536 263.67507486  -32.71773698   0.9659   0.1140   2.6836   0.1169  -2.0188   0.0905  16.9146  18.2426  15.7593  13.9980  13.0730  12.8440  0.6230  0.5614  0.9793  0.5498 0  0.4697  1.3439   7.1487
4054612958973723264 263.62873163  -32.74441367   0.9150   0.1071   2.5477   0.1042  -1.9503   0.0812  17.2285  18.4453  16.1329  14.4370  13.7150  12.8760  1.0000  0.7273  0.9793  0.7123 1  0.6901  1.5748   6.6034
4054613233851665280 263.59953031  -32.72221516   0.8906   0.0491   2.5241   0.0488  -1.8340   0.0384  15.7370  16.6476  14.7950  13.4160  12.6770  12.5380  1.0000  1.0000  0.9862  0.9862 1  0.5619  1.6805   6.5463
4054613440010107520 263.61807187  -32.68990613   0.9286   0.0662   2.3583   0.0717  -1.9252   0.0542  16.5865  17.5411  15.6056  14.0990  13.2540  13.2200  1.0000  0.6603  0.9793  0.6466 1  0.7626  1.5230   6.5522
4054613955406179840 263.68168910  -32.64615038   0.9102   0.0460   2.6624   0.0489  -1.7645   0.0366  15.8230  16.7910  14.8375  13.3190  12.6040  12.3860  1.0000  0.9608  0.9966  0.9575 1  0.4944  1.5967   6.4618
4054613989750175744 263.66818752  -32.64134413   0.8790   0.2265   2.2424   0.2617  -1.7750   0.2075  18.5953  20.1066  17.1868      ...      ...      ...  0.8521  0.6593  0.9793  0.6456 1  0.9402  1.7316   6.5521
